# Undirected graph (each unordered pair of nodes is saved once): attempt5.txt
# Nodes: 90 Edges: 125
# NodeId	NodeId
0	7
0	41
0	45
1	40
1	86
2	70
2	89
3	6
3	33
3	82
4	74
5	14
5	68
6	11
6	72
7	19
7	47
7	63
8	11
8	16
8	21
8	25
8	46
8	84
9	26
9	35
9	47
9	52
9	82
9	88
10	21
10	57
11	81
12	20
12	21
13	80
13	84
13	87
14	54
15	18
15	49
15	55
15	61
15	80
16	21
16	67
17	61
17	78
18	59
18	65
18	81
19	41
19	83
20	69
21	60
22	68
22	86
23	55
23	60
24	36
24	45
25	26
25	77
26	29
26	36
26	50
26	71
27	74
27	77
28	35
28	76
28	77
28	86
29	50
29	70
29	76
30	49
30	64
31	66
31	69
32	87
33	66
35	61
36	42
36	47
37	59
37	86
38	42
38	49
38	56
39	58
41	72
42	55
42	81
43	61
45	52
45	89
46	54
46	86
47	89
48	68
49	84
50	54
50	55
50	65
51	63
52	62
52	89
53	89
55	70
55	78
56	64
56	76
58	82
59	80
60	87
61	81
64	67
64	87
65	67
68	80
74	87
74	89
81	87
87	88
