# Undirected graph (each unordered pair of nodes is saved once): attempt0.txt
# Nodes: 90 Edges: 127
# NodeId	NodeId
0	8
0	21
0	65
1	11
1	56
1	59
2	27
2	39
2	48
3	4
3	63
4	27
4	77
6	25
7	21
7	27
7	59
7	78
7	89
8	51
8	53
9	34
9	42
9	50
9	67
9	69
9	77
10	40
10	68
11	75
12	34
12	45
12	67
12	73
12	85
14	65
14	69
16	24
16	54
16	70
17	32
17	66
18	35
18	36
18	78
19	79
20	30
20	81
21	64
21	70
23	28
23	40
23	75
24	75
25	28
25	39
25	59
25	65
25	69
25	84
26	28
27	54
28	48
28	52
28	79
30	59
31	52
31	82
32	40
32	44
32	65
32	67
32	72
33	75
34	40
34	61
34	67
35	56
35	78
36	50
36	74
37	73
37	76
38	67
39	50
39	80
39	85
41	43
41	87
41	88
42	47
42	72
44	74
44	83
45	50
46	55
47	56
47	65
48	50
48	89
49	70
50	77
51	82
53	65
54	56
55	79
56	59
56	62
56	65
56	80
57	84
57	89
58	62
59	82
60	73
60	79
61	67
61	71
65	80
66	89
67	74
67	87
70	76
71	79
73	80
77	89
78	88
