# Undirected graph (each unordered pair of nodes is saved once): attempt4.txt
# Nodes: 90 Edges: 124
# NodeId	NodeId
1	8
1	42
1	55
1	78
2	10
2	33
2	40
3	11
3	13
3	51
3	59
3	75
3	81
4	20
4	77
4	85
5	16
5	64
5	65
6	23
6	24
6	49
6	59
6	77
7	14
7	77
8	16
8	59
8	60
8	62
8	68
9	11
9	27
9	73
9	79
10	35
11	45
11	65
12	21
12	36
13	30
13	52
13	79
14	37
14	71
15	59
15	62
15	64
16	20
16	31
17	28
17	42
17	52
17	67
18	31
18	66
18	86
19	31
20	88
21	76
22	41
22	42
22	67
22	75
23	49
23	72
24	81
25	47
25	51
25	56
27	64
28	43
28	47
29	54
29	85
30	57
31	58
32	52
32	62
32	64
33	71
33	74
34	76
35	39
35	65
36	55
37	51
39	49
41	55
41	69
43	48
43	58
44	56
45	49
47	55
47	68
48	54
48	57
49	56
49	70
51	80
52	60
52	64
52	81
53	57
53	62
53	74
54	73
55	66
56	88
57	63
58	70
60	78
61	63
61	65
65	87
67	77
70	77
72	81
73	87
75	80
76	84
78	88
79	83
